2026-01-03 09:21:21,447 INFO    MainThread:25995 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-01-03 09:21:21,448 INFO    MainThread:25995 [wandb_setup.py:_flush():80] Configure stats pid to 25995
2026-01-03 09:21:21,448 INFO    MainThread:25995 [wandb_setup.py:_flush():80] Loading settings from /Users/zoe/.config/wandb/settings
2026-01-03 09:21:21,448 INFO    MainThread:25995 [wandb_setup.py:_flush():80] Loading settings from /Users/zoe/Desktop/VAEs/beta-tcvae/wandb/settings
2026-01-03 09:21:21,448 INFO    MainThread:25995 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-03 09:21:21,448 INFO    MainThread:25995 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /Users/zoe/Desktop/VAEs/beta-tcvae/wandb/run-20260103_092121-gqesx0av/logs/debug.log
2026-01-03 09:21:21,448 INFO    MainThread:25995 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /Users/zoe/Desktop/VAEs/beta-tcvae/wandb/run-20260103_092121-gqesx0av/logs/debug-internal.log
2026-01-03 09:21:21,448 INFO    MainThread:25995 [wandb_init.py:init():841] calling init triggers
2026-01-03 09:21:21,448 INFO    MainThread:25995 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'dataset': 'shapes', 'dist': 'normal', 'num_epochs': 1, 'batch_size': 64, 'learning_rate': 0.001, 'latent_dim': 10, 'beta': 6.0, 'tcvae': True, 'exclude_mutinfo': False, 'beta_anneal': False, 'lambda_anneal': False, 'mss': False, 'conv': False, 'gpu': 0, 'visdom': False, 'save': 'test1', 'log_freq': 50, 'workers': 0, 'wandb': True, 'wandb_project': 'beta-tcvae', 'wandb_entity': None, 'wandb_run_name': 'bs64', 'wandb_mode': 'online', '_wandb': {}}
2026-01-03 09:21:21,449 INFO    MainThread:25995 [wandb_init.py:init():889] starting backend
2026-01-03 09:21:21,695 INFO    MainThread:25995 [wandb_init.py:init():892] sending inform_init request
2026-01-03 09:21:21,730 INFO    MainThread:25995 [wandb_init.py:init():900] backend started and connected
2026-01-03 09:21:21,748 INFO    MainThread:25995 [wandb_init.py:init():970] updated telemetry
2026-01-03 09:21:21,769 INFO    MainThread:25995 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-01-03 09:21:22,485 INFO    MainThread:25995 [wandb_init.py:init():1041] starting run threads in backend
2026-01-03 09:21:22,549 INFO    MainThread:25995 [wandb_run.py:_console_start():2521] atexit reg
2026-01-03 09:21:22,549 INFO    MainThread:25995 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-01-03 09:21:22,549 INFO    MainThread:25995 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-01-03 09:21:22,549 INFO    MainThread:25995 [wandb_run.py:_redirect():2461] Redirects installed.
2026-01-03 09:21:22,552 INFO    MainThread:25995 [wandb_init.py:init():1081] run started, returning control to user process
2026-01-03 09:25:03,876 INFO    wandb-AsyncioManager-main:25995 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-03 09:25:03,876 INFO    wandb-AsyncioManager-main:25995 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
