obj tensor(-3451.8708, grad_fn=<SubBackward0>)
obj tensor(-3330.7227, grad_fn=<SubBackward0>)
obj tensor(-2548.7395, grad_fn=<SubBackward0>)
obj tensor(-1663.2826, grad_fn=<SubBackward0>)
obj tensor(-1365.8844, grad_fn=<SubBackward0>)
obj tensor(-1368.3153, grad_fn=<SubBackward0>)
obj tensor(-1304.2354, grad_fn=<SubBackward0>)
obj tensor(-1262.4766, grad_fn=<SubBackward0>)
obj tensor(-1249.1683, grad_fn=<SubBackward0>)
obj tensor(-1230.3438, grad_fn=<SubBackward0>)
obj tensor(-1244.3608, grad_fn=<SubBackward0>)
obj tensor(-1206.2786, grad_fn=<SubBackward0>)
obj tensor(-1241.5588, grad_fn=<SubBackward0>)
obj tensor(-1242.9158, grad_fn=<SubBackward0>)
obj tensor(-1199.6331, grad_fn=<SubBackward0>)
obj tensor(-1194.8394, grad_fn=<SubBackward0>)
obj tensor(-1185.8462, grad_fn=<SubBackward0>)
obj tensor(-1192.0957, grad_fn=<SubBackward0>)
obj tensor(-1193.4255, grad_fn=<SubBackward0>)
obj tensor(-1195.6414, grad_fn=<SubBackward0>)
obj tensor(-1194.1698, grad_fn=<SubBackward0>)
obj tensor(-1194.7920, grad_fn=<SubBackward0>)
obj tensor(-1191.3347, grad_fn=<SubBackward0>)
obj tensor(-1190.2410, grad_fn=<SubBackward0>)
obj tensor(-1184.0939, grad_fn=<SubBackward0>)
obj tensor(-1189.4193, grad_fn=<SubBackward0>)
obj tensor(-1181.5463, grad_fn=<SubBackward0>)
obj tensor(-1183.0232, grad_fn=<SubBackward0>)
obj tensor(-1179.8367, grad_fn=<SubBackward0>)
obj tensor(-1179.0979, grad_fn=<SubBackward0>)
obj tensor(-1175.7192, grad_fn=<SubBackward0>)
obj tensor(-1175.4281, grad_fn=<SubBackward0>)
obj tensor(-1168.5271, grad_fn=<SubBackward0>)
obj tensor(-1171.8601, grad_fn=<SubBackward0>)
obj tensor(-1162.9719, grad_fn=<SubBackward0>)
obj tensor(-1170.6633, grad_fn=<SubBackward0>)
obj tensor(-1169.9436, grad_fn=<SubBackward0>)
obj tensor(-1165.1564, grad_fn=<SubBackward0>)
obj tensor(-1168.1013, grad_fn=<SubBackward0>)
obj tensor(-1146.9364, grad_fn=<SubBackward0>)
obj tensor(-1159.0555, grad_fn=<SubBackward0>)
obj tensor(-1152.4792, grad_fn=<SubBackward0>)
obj tensor(-1140.3398, grad_fn=<SubBackward0>)
obj tensor(-1140.2092, grad_fn=<SubBackward0>)
obj tensor(-1152.5797, grad_fn=<SubBackward0>)
obj tensor(-1139.8407, grad_fn=<SubBackward0>)
obj tensor(-1132.4464, grad_fn=<SubBackward0>)
obj tensor(-1145.6548, grad_fn=<SubBackward0>)
obj tensor(-1121.2191, grad_fn=<SubBackward0>)
obj tensor(-1128.7327, grad_fn=<SubBackward0>)
[iteration 050] time: 0.26 	beta 6.00 	lambda 0.00 training ELBO: -515.1318 (-1105.3452)
Active units: 0,1,2,3,5,6,7,8,9
Number of active units: 9/10
obj tensor(-1122.8408, grad_fn=<SubBackward0>)
obj tensor(-1119.4352, grad_fn=<SubBackward0>)
obj tensor(-1113.4574, grad_fn=<SubBackward0>)
obj tensor(-1114.0409, grad_fn=<SubBackward0>)
obj tensor(-1115.7827, grad_fn=<SubBackward0>)
obj tensor(-1111.9553, grad_fn=<SubBackward0>)
obj tensor(-1117.5090, grad_fn=<SubBackward0>)
obj tensor(-1098.0211, grad_fn=<SubBackward0>)
obj tensor(-1109.3375, grad_fn=<SubBackward0>)
obj tensor(-1102.5508, grad_fn=<SubBackward0>)
obj tensor(-1098.2756, grad_fn=<SubBackward0>)
obj tensor(-1099.6223, grad_fn=<SubBackward0>)
obj tensor(-1096.9745, grad_fn=<SubBackward0>)
obj tensor(-1090.7635, grad_fn=<SubBackward0>)
obj tensor(-1085.7904, grad_fn=<SubBackward0>)
obj tensor(-1081.8517, grad_fn=<SubBackward0>)
obj tensor(-1077.4473, grad_fn=<SubBackward0>)
obj tensor(-1085.2753, grad_fn=<SubBackward0>)
obj tensor(-1077.6295, grad_fn=<SubBackward0>)
obj tensor(-1072.2307, grad_fn=<SubBackward0>)
obj tensor(-1070.4033, grad_fn=<SubBackward0>)
obj tensor(-1070.3353, grad_fn=<SubBackward0>)
obj tensor(-1060.4171, grad_fn=<SubBackward0>)
obj tensor(-1063.9230, grad_fn=<SubBackward0>)
obj tensor(-1060.3601, grad_fn=<SubBackward0>)
obj tensor(-1063.1552, grad_fn=<SubBackward0>)
obj tensor(-1064.1555, grad_fn=<SubBackward0>)
obj tensor(-1056.7469, grad_fn=<SubBackward0>)
obj tensor(-1052.7777, grad_fn=<SubBackward0>)
obj tensor(-1049.1553, grad_fn=<SubBackward0>)
obj tensor(-1044.0299, grad_fn=<SubBackward0>)
obj tensor(-1048.7782, grad_fn=<SubBackward0>)
obj tensor(-1046.9808, grad_fn=<SubBackward0>)
obj tensor(-1050.8035, grad_fn=<SubBackward0>)
obj tensor(-1057.6860, grad_fn=<SubBackward0>)
obj tensor(-1053.8293, grad_fn=<SubBackward0>)
obj tensor(-1051.2689, grad_fn=<SubBackward0>)
obj tensor(-1051.2466, grad_fn=<SubBackward0>)
obj tensor(-1039.8900, grad_fn=<SubBackward0>)
obj tensor(-1037.9022, grad_fn=<SubBackward0>)
obj tensor(-1041.4078, grad_fn=<SubBackward0>)
obj tensor(-1042.9459, grad_fn=<SubBackward0>)
obj tensor(-1031.5271, grad_fn=<SubBackward0>)
obj tensor(-1039.3500, grad_fn=<SubBackward0>)
obj tensor(-1023.4299, grad_fn=<SubBackward0>)
obj tensor(-1034.2587, grad_fn=<SubBackward0>)
obj tensor(-1042.7054, grad_fn=<SubBackward0>)
obj tensor(-1017.6017, grad_fn=<SubBackward0>)
obj tensor(-1031.0017, grad_fn=<SubBackward0>)
obj tensor(-1023.2195, grad_fn=<SubBackward0>)
[iteration 100] time: 0.26 	beta 6.00 	lambda 0.00 training ELBO: -415.1784 (-590.4511)
Active units: 0,3,7,8,9
Number of active units: 5/10
obj tensor(-1028.0404, grad_fn=<SubBackward0>)
obj tensor(-1015.8999, grad_fn=<SubBackward0>)
obj tensor(-1022.4890, grad_fn=<SubBackward0>)
obj tensor(-1025.5779, grad_fn=<SubBackward0>)
obj tensor(-1015.8328, grad_fn=<SubBackward0>)
obj tensor(-1018.4276, grad_fn=<SubBackward0>)
obj tensor(-1019.5414, grad_fn=<SubBackward0>)
obj tensor(-1011.0266, grad_fn=<SubBackward0>)
obj tensor(-1017.8590, grad_fn=<SubBackward0>)
obj tensor(-1010.6879, grad_fn=<SubBackward0>)
obj tensor(-1008.4677, grad_fn=<SubBackward0>)
obj tensor(-1016.1758, grad_fn=<SubBackward0>)
obj tensor(-1008.9106, grad_fn=<SubBackward0>)
obj tensor(-999.6324, grad_fn=<SubBackward0>)
obj tensor(-1008.5948, grad_fn=<SubBackward0>)
obj tensor(-1008.0618, grad_fn=<SubBackward0>)
